Datum;DE0007037129;DE0007164600;US5949181045;US4581401001;DE0005557508;DE000BASF111;DE000ENAG999;AU000000CUV3;DE000A0JK2A8;DE000A2YN900;^GDAXI;^MDAXI;^GSPC;WDI.DE;9BT.SG;VNRX;IE00B9KNR336;GB00B03MM408;GAZ.BE;CA3499151080
2009-01-14;59,91;25,985;14,60;;10,23;;;;;;;;;;;;;;;
2009-01-15;59,452;26,03;14,22;;10,045;;;;;;;;;;;;;;;
2009-01-16;59,273;26,915;14,60;;9,99;23,76;;;;;;;;;;;;;;
2009-01-19;60,13;26,60;14,67;;10,235;22,68;;;;;;;;;;;;;;
2009-01-20;60,339;25,94;;;10,405;22,85;;;;;;;;;;;;;;
2009-01-21;59,781;26,69;;;10,32;23,01;;;;;;;;;;;;;;
2009-01-22;59,153;27,015;;;10,125;22,78;;;;;;;;;;;;;;
2009-01-23;59,701;25,91;;;10,20;21,86;;;;;;;;;;;;;;
2009-01-26;61,057;26,165;;;10,185;22,41;;;;;;;;;;;;;;
2009-01-27;61,186;26,215;;;10,03;22,16;;;;;;;;;;;;;;
2009-01-28;62,123;27,60;;;10,085;22,86;;;;;;;;;;;;;;
2009-01-29;61,106;27,785;;;9,71;23,63;;;;;;;;;;;;;;
2009-01-30;60,668;27,85;;;9,47;22,72;;;;;;;;;;;;;;
2009-02-02;59,901;27,555;;;9,515;22,26;;;;;;;;;;;;;;
2009-02-03;61,595;28,055;;;10,03;22,57;;;;;;;;;;;;;;
2009-02-04;62,293;28,51;;;10,25;24,30;;;;;;;;;;;;;;
2009-02-05;62,542;29,25;;;10,085;24,09;;;;;;;;;;;;;;
2009-02-06;62,921;29,51;;;10,075;26,10;;;;;;;;;;;;;;
2009-02-09;61,834;29,64;;;9,745;26,29;;;;;;;;;;;;;;
2009-02-10;61,067;28,875;;;9,55;25,02;;;;;;;;;;;;;;
2009-02-11;60,897;29,00;;;9,665;24,96;;;;;;;;;;;;;;
2009-02-12;58,266;28,45;;;9,61;24,05;;;;;;;;;;;;;;
2009-02-13;56,811;28,575;;;9,65;24,58;;0,16;;;;;;;;;;;;
2009-02-16;55,555;28,595;;;9,70;24,40;;;;;;;;;;;;;;
2009-02-17;55,276;28,24;;;9,355;23,23;;0,12;;;;;;;;;;;;
2009-02-18;54,847;28,06;;;9,64;23,20;;0,12;;;;;;;;;;;;
2009-02-19;56,492;27,00;;;9,555;22,93;;0,16;;;;;;;;;;;;
2009-02-20;54,03;26,205;;;9,41;21,74;;0,16;;;;;;;;;;;;
2009-02-23;53,392;26,28;;;9,325;21,45;;0,15;;;;;;;;;;;;
2009-02-24;53,701;26,32;;;9,19;21,72;;;;;;;;;;;;;;
2009-02-25;52,455;26,185;;;9,065;21,07;;;;;;;;;;;;;;
2009-02-26;51,14;25,90;;;9,48;22,62;;;;;;;;;;;;;;
2009-02-27;49,804;25,515;;;9,565;21,96;;0,15;;;;;;;;;;;;
2009-03-02;46,366;25,54;;;9,375;20,99;;0,14;;;;;;;;;;;;
2009-03-03;46,605;25,63;;;9,265;20,71;;0,12;;;;;;;;;;;;
2009-03-04;48,748;26,43;;;9,72;22,25;;0,15;;;;;;;;;;;;
2009-03-05;48,638;25,71;;;9,24;20,80;;0,14;;;;;;;;;;;;
2009-03-06;48,309;25,005;;;9,265;20,74;;0,14;;;;;;;;;;;;
2009-03-09;48,16;25,59;;;9,16;20,77;;0,12;;;;;;;;;;;;
2009-03-10;49,077;26,87;;;9,42;22,72;;0,15;;;;;;;;;;;;
2009-03-11;48,718;26,64;;;9,28;23,74;;0,15;;;;;;;;;;;;
2009-03-12;49,565;26,18;;;9,415;24,33;;0,12;;;;;;;;;;;;
2009-03-13;49,934;25,725;;;9,455;24,26;;0,15;;;;;;;;;;;;
2009-03-16;51,259;26,475;;;9,67;24,31;;;;;;;;;;;;;;
2009-03-17;50,303;26,33;;;9,585;23,96;;;;;;;;;;;;;;
2009-03-18;50,402;26,87;;;9,605;23,55;;;;;;;;;;;;;;
2009-03-19;51,469;27,63;;;9,36;23,65;;0,15;;;;;;;;;;;;
2009-03-20;52,435;27,43;;;9,14;23,95;;0,16;;;;;;;;;;;;
2009-03-23;52,954;27,22;;;9,30;24,56;;0,13;;;;;;;;;;;;
2009-03-24;53,462;27,59;;;9,415;24,79;;0,16;;;;;;;;;;;;
2009-03-25;54,748;27,49;;;9,60;24,33;;0,13;;;;;;;;;;;;
2009-03-26;55,037;27,65;;;9,565;24,26;;;;;;;;;;;;;;
2009-03-27;53,771;26,745;;;9,26;23,79;;;;;;;;;;;;;;
2009-03-30;51,847;25,99;;;9,14;22,24;;;;;;;;;;;;;;
2009-03-31;52,635;26,68;;;9,35;22,79;;;;;;;;;;;;;;
2009-04-01;53,073;27,00;;;9,555;23,08;;0,13;;;;;;;;;;;;
2009-04-02;54,508;27,705;;;9,71;24,83;;0,18;;;;;;;;;;;;
2009-04-03;52,256;27,60;;;9,43;25,96;;0,18;;;;;;;;;;;;
2009-04-06;53,761;27,645;;;9,25;25,69;;0,13;;;;;;;;;;;;
2009-04-07;54,449;27,77;;;9,455;25,21;;0,13;;;;;;;;;;;;
