Datum;Kurs
2018-05-31;47,62
2018-07-20;44,28
2018-07-23;44,49
2018-07-24;45,03
2018-07-25;44,15
2018-07-26;44,70
2018-07-27;41,40
2018-07-30;40,28
2018-07-31;41,00
2018-08-01;41,39
2018-08-02;42,11
2018-08-03;42,57
2018-08-06;42,00
2018-08-07;42,67
2018-08-08;42,99
2018-08-09;43,12
2018-08-10;42,88
2018-08-13;42,90
2018-08-14;42,71
2018-08-15;41,78
2018-08-16;41,74
2018-08-17;41,13
2018-08-20;40,50
2018-08-21;41,18
2018-08-22;40,62
2018-08-23;40,45
2018-08-24;41,17
2018-08-27;41,41
2018-08-28;41,29
2018-08-29;41,68
2018-08-30;41,43
2018-08-31;41,63
2018-09-03;41,52
2018-09-04;41,42
2018-09-05;41,17
2018-09-06;40,99
2018-09-07;40,78
2018-09-10;40,00
2018-09-11;39,37
2018-09-12;38,45
2018-09-13;38,83
2018-09-14;39,08
2018-09-17;39,06
2018-09-18;39,62
2018-09-19;39,54
2018-09-20;39,95
2018-09-21;40,00
2018-09-24;39,64
2018-09-25;39,35
2018-09-26;39,22
2018-09-27;39,47
2018-09-28;40,65
2018-10-01;40,24
2018-10-02;42,18
2018-10-04;41,70
2018-10-05;40,85
2018-10-08;40,83
2018-10-09;41,00
2018-10-10;39,50
2018-10-11;38,61
2018-10-12;38,81
2018-10-15;38,88
2018-10-16;39,42
2018-10-17;39,62
2018-10-18;39,30
2018-10-19;38,82
2018-10-22;38,65
2018-10-23;38,57
2018-10-24;38,02
2018-10-25;38,70
2018-10-26;40,27
2018-10-29;40,07
2018-10-30;41,53
2018-10-31;41,90
2018-11-01;42,13
2018-11-02;41,68
2018-11-05;41,66
2018-11-06;41,53
2018-11-07;42,04
2018-11-08;43,08
2018-11-09;42,46
2018-11-12;41,69
2018-11-13;42,56
2018-11-14;41,76
2018-11-15;41,93
2018-11-16;42,73
2018-11-19;42,27
2018-11-20;41,84
2018-11-21;41,75
2018-11-22;40,73
2018-11-23;41,27
2018-11-26;41,39
2018-11-27;42,48
2018-11-28;42,49
2018-11-29;42,21
2018-11-30;42,77
2018-12-03;44,02
2018-12-04;43,22
2018-12-05;42,36
2018-12-06;41,56
2018-12-07;41,42
2018-12-10;40,88
2018-12-11;42,31
2018-12-12;42,54
2018-12-13;42,50
2018-12-14;42,90
2018-12-17;42,50
2018-12-18;42,14
2018-12-19;41,22
2018-12-20;40,06
2018-12-21;40,24
2018-12-27;39,77
2018-12-28;40,69
2019-01-02;41,38
2019-01-03;39,82
2019-01-04;41,00
2019-01-07;41,34
2019-01-08;40,88
2019-01-09;41,74
2019-01-10;41,67
2019-01-11;42,64
2019-01-14;42,40
2019-01-15;42,62
2019-01-16;42,68
2019-01-17;42,45
2019-01-18;43,38
2019-01-21;43,12
2019-01-22;42,74
2019-01-23;42,04
2019-01-24;43,69
2019-01-25;40,81
2019-01-28;40,51
2019-01-29;40,71
2019-01-30;40,85
2019-01-31;40,32
2019-02-01;42,34
2019-02-04;42,68
2019-02-05;44,25
2019-02-06;43,98
2019-02-07;43,16
2019-02-08;42,52
2019-02-11;43,25
2019-02-12;44,13
2019-02-13;44,59
2019-02-14;44,77
2019-02-15;45,42
2019-02-18;45,50
2019-02-19;45,43
2019-02-20;45,18
2019-02-21;45,42
2019-02-22;46,69
2019-02-25;47,01
2019-02-26;46,88
2019-02-27;46,65
2019-02-28;46,50
2019-03-01;46,67
2019-03-04;47,27
2019-03-05;47,53
2019-03-06;47,00
2019-03-07;46,92
2019-03-08;46,60
2019-03-11;47,62
2019-03-12;47,69
2019-03-13;47,92
2019-03-14;47,82
2019-03-15;48,01
2019-03-18;47,60
2019-03-19;47,92
2019-03-20;47,36
2019-03-21;47,95
2019-03-22;47,34
2019-03-25;46,52
2019-03-26;47,12
2019-03-27;47,17
2019-03-28;47,15
2019-03-29;47,74
2019-04-01;48,46
2019-04-02;48,66
2019-04-03;49,67
2019-04-04;49,73
2019-04-05;49,32
2019-04-08;49,29
2019-04-09;48,92
2019-04-10;49,48
2019-04-11;49,71
2019-04-12;49,46
2019-04-15;49,555
2019-04-16;50,70
2019-04-17;51,94
2019-04-18;52,27
2019-04-23;52,42
2019-04-24;52,94
2019-04-25;51,58
2019-04-26;46,59
2019-04-29;46,00
2019-04-30;45,605
2019-05-02;45,28
2019-05-03;45,615
2019-05-06;45,51
2019-05-07;45,13
2019-05-08;44,935
2019-05-09;41,225
2019-05-10;40,33
2019-05-13;40,125
2019-05-14;40,575
2019-05-15;40,535
2019-05-16;40,83
2019-05-17;40,645
2019-05-20;39,45
2019-05-21;40,03
2019-05-22;39,54
2019-05-23;39,075
2019-05-24;39,855
2019-05-27;39,90
2019-05-28;38,98
2019-05-29;39,435
2019-05-30;39,87
2019-05-31;39,91
2019-06-03;39,255
2019-06-04;39,835
2019-06-05;39,545
2019-06-06;39,665
2019-06-07;40,505
2019-06-11;41,305
2019-06-12;41,025
2019-06-13;41,38
2019-06-14;41,17
2019-06-17;41,255
2019-06-18;42,655
2019-06-19;42,135
2019-06-20;41,935
2019-06-21;42,085
2019-06-24;41,785
2019-06-25;41,68
2019-06-26;42,36
2019-06-27;41,72
2019-06-28;42,145
2019-07-01;42,685
2019-07-02;42,54
2019-07-03;42,875
2019-07-04;42,95
2019-07-05;42,665
2019-07-08;42,545
2019-07-09;42,465
2019-07-10;42,965
2019-07-11;43,19
2019-07-12;43,98
2019-07-15;44,49
2019-07-16;44,035
2019-07-17;43,96
2019-07-18;43,575
2019-07-19;44,87
2019-07-22;45,42
2019-07-23;46,23
2019-07-24;47,115
2019-07-25;46,78
2019-07-26;46,545
2019-07-29;46,75
2019-07-30;46,765
2019-07-31;46,225
2019-08-01;46,80
2019-08-02;43,73
2019-08-05;42,02
2019-08-06;41,89
2019-08-07;41,415
2019-08-08;41,555
2019-08-09;40,895
2019-08-12;40,87
2019-08-13;41,805
2019-08-14;41,175
2019-08-15;41,335
2019-08-16;41,845
2019-08-19;42,48
2019-08-20;42,10
2019-08-21;42,49
2019-08-22;42,525
2019-08-23;40,715
2019-08-26;40,94
2019-08-27;41,215
2019-08-28;41,365
2019-08-29;42,48
2019-08-30;43,205
2019-09-02;42,735
2019-09-03;42,715
2019-09-04;43,985
2019-09-05;46,02
2019-09-06;45,83
2019-09-09;46,905
2019-09-10;46,225
2019-09-11;47,64
2019-09-12;47,785
2019-09-13;47,405
2019-09-16;47,35
2019-09-17;46,81
2019-09-18;46,70
2019-09-19;46,93
2019-09-20;46,90
2019-09-23;46,14
2019-09-24;45,805
2019-09-25;45,84
2019-09-26;46,25
2019-09-27;46,785
2019-09-30;47,07
2019-10-01;46,86
2019-10-02;44,97
2019-10-04;46,13
2019-10-07;46,385
2019-10-08;45,485
2019-10-09;45,915
2019-10-10;46,925
2019-10-11;47,535
2019-10-14;46,84
2019-10-15;47,695
2019-10-16;47,275
2019-10-17;46,39
2019-10-18;46,155
2019-10-21;46,58
2019-10-22;46,93
2019-10-23;46,37
2019-10-24;47,00
2019-10-25;50,71
2019-10-28;50,79
2019-10-29;50,97
2019-10-30;50,57
2019-10-31;50,06
2019-11-01;50,30
2019-11-04;51,57
2019-11-05;52,62
2019-11-06;51,95
2019-11-07;52,83
2019-11-08;52,54
2019-11-11;52,78
2019-11-12;53,24
2019-11-13;52,41
2019-11-14;52,39
2019-11-15;52,63
2019-11-18;52,74
2019-11-19;52,34
2019-11-20;52,62
2019-11-21;52,41
2019-11-22;52,32
2019-11-25;53,18
2019-11-26;53,17
2019-11-27;53,10
2019-11-28;52,94
2019-11-29;52,74
2019-12-02;52,00
2019-12-03;50,60
2019-12-04;50,70
2019-12-05;50,38
2019-12-06;51,51
2019-12-09;51,30
2019-12-10;51,13
2019-12-11;51,31
2019-12-12;51,81
2019-12-13;51,99
2019-12-16;52,23
2019-12-17;51,61
2019-12-18;51,40
2019-12-19;51,96
2019-12-20;52,81
2019-12-23;53,63
2019-12-27;53,82
2019-12-30;53,73
2020-01-02;54,23
2020-01-03;53,88
2020-01-06;53,75
2020-01-07;53,15
2020-01-08;52,75
2020-01-09;53,24
2020-01-10;53,44
2020-01-13;53,39
2020-01-14;53,30
2020-01-15;53,20
2020-01-16;53,23
2020-01-17;53,50
2020-01-20;53,90
2020-01-21;54,75
2020-01-22;56,14
2020-01-23;57,19
2020-01-24;62,43
2020-01-27;60,07
2020-01-28;61,25
2020-01-29;60,35
2020-01-30;59,69
2020-01-31;58,31
2020-02-03;58,48
2020-02-04;59,53
2020-02-05;60,56
2020-02-06;61,07
2020-02-07;61,03
2020-02-10;60,20
2020-02-11;61,69
2020-02-12;61,92
2020-02-13;62,33
2020-02-14;62,43
2020-02-17;62,43
2020-02-18;61,15
2020-02-19;61,63
2020-02-20;60,28
2020-02-21;59,69
2020-02-24;57,32
2020-02-25;56,04
2020-02-26;55,32
2020-02-27;52,36
2020-02-28;50,28
2020-03-02;50,34
2020-03-03;51,28
2020-03-04;51,62
2020-03-05;52,10
2020-03-06;48,90
2020-03-09;45,30
2020-03-10;45,015
2020-03-11;46,66
2020-03-12;42,31
2020-03-13;43,43
2020-03-16;45,38
2020-03-17;45,285
2020-03-18;43,945
2020-03-19;44,535
2020-03-20;43,935
2020-03-23;44,89
2020-03-24;49,475
2020-03-25;47,96
2020-03-26;49,655
2020-03-27;48,35
2020-03-30;50,49
2020-03-31;50,27
2020-04-01;49,00
2020-04-02;49,49
2020-04-03;50,04
2020-04-06;52,57
2020-04-07;54,90
2020-04-08;54,09
2020-04-09;52,83
2020-04-14;54,69
2020-04-15;54,04
2020-04-16;55,39
2020-04-17;55,69
2020-04-20;54,90
2020-04-21;51,61
2020-04-22;54,46
2020-04-23;55,26
2020-04-24;53,66
2020-04-27;54,36
2020-04-28;54,03
2020-04-29;56,28
2020-04-30;55,09
2020-05-04;52,43
2020-05-05;54,27
2020-05-06;55,10
2020-05-07;55,24
2020-05-08;54,78
2020-05-11;55,87
2020-05-12;55,36
2020-05-13;53,68
2020-05-14;52,62
2020-05-15;52,91
2020-05-18;55,29
2020-05-19;56,23
2020-05-20;57,66
2020-05-21;57,05
2020-05-22;56,61
2020-05-25;57,98
2020-05-26;57,90
2020-05-27;56,29
2020-05-28;56,74
2020-05-29;55,64
2020-06-02;54,68
2020-06-03;55,00
2020-06-04;55,60
2020-06-05;57,27
2020-06-08;56,26
2020-06-09;55,76
2020-06-10;55,96
2020-06-11;54,34
2020-06-12;52,00
2020-06-15;52,20
2020-06-16;53,73
2020-06-17;54,14
2020-06-18;53,63
2020-06-19;53,20
2020-06-22;52,93
2020-06-23;53,34
2020-06-24;52,37
2020-06-25;51,44
2020-06-26;51,61
2020-06-29;51,05
2020-06-30;52,78
2020-07-01;52,62
2020-07-02;52,82
2020-07-03;52,81
2020-07-06;52,43
2020-07-07;52,23
2020-07-08;51,67
2020-07-09;51,33
2020-07-10;51,99
2020-07-13;52,73
2020-07-14;50,86
2020-07-15;51,64
2020-07-16;51,44
2020-07-17;52,66
2020-07-21;53,08
2020-07-22;52,69
2020-07-23;52,54
2020-07-24;44,13
2020-07-27;42,56
2020-07-28;42,61
2020-07-29;40,96
2020-07-30;40,545
2020-07-31;40,23
2020-08-03;41,34
2020-08-04;41,47
2020-08-05;41,225
2020-08-06;40,715
2020-08-07;40,575
2020-08-10;42,00
2020-08-11;41,70
2020-08-12;41,21
2020-08-13;41,265
2020-08-14;41,505
2020-08-17;41,41
2020-08-18;41,035
2020-08-19;40,695
2020-08-20;41,375
2020-08-21;41,51
2020-08-24;41,51
2020-08-25;41,645
2020-08-26;41,885
2020-08-27;42,015
2020-08-28;41,60
2020-08-31;42,51
2020-09-01;42,29
2020-09-02;44,185
2020-09-03;43,12
2020-09-04;42,10
2020-09-07;42,88
2020-09-08;42,175
